case_id,pre_like_dem_candidate,pre_dislike_dem_candidate,pre_like_rep_candidate,pre_dislike_rep_candidate,pre_like_dem_party,pre_dislike_dem_party,pre_like_rep_party,pre_dislike_rep_party,post_mip_mention_1,post_mip_mention_2,post_mip_mention_3,post_mip_most_important
142597,Her values align with my own; I also believe she will work to restore women's reproductive rights,NA,NA,"I do not agree with his platform or that of the Republican Party as a whole.  Further, he has not exhibited the qualities that I would seek in a leader: thoughtful, intelligent, purposeful, calm.  He is instead disrespectful, reactive, dismissive of facts --and in fact, spreading lies.","Platform aligns to the things I believe in: women's reproductive rights, supporting communities (to include those who have immigrated to our country) through education and social services",I want clarity from the party around their goals and how we will achieve them. I am excited about Harris as a candidate--but I think it took too long to get there. I think some of the elder statesmen of the party are too fearful,NA,"There was a time where my friends and colleagues voted Republican and I could see their choice merely as a difference of opinion.  There were republican politicians I respected and admired--even if I didn't always agree with them on every issue.  They were thoughtful and seeking solutions and open to learning. Now, it feels that opportunities for discourse are shut down.  And the leaders of the party are inflammatory and without a moral compass.",the rights to bodily autonomy -for women and those who identify as transgender,systemic racism; openly racist rhetoric from political leaders,social services available to those who need them,racism
142598,she is a better option because she is not a bigot races self centered person,I think she will accept corporate donations that serve to manipulate our system and keep the lower class poor,NA,the way he talks and expresses himself,they don’t want to take women rights away,the corruption of the corporation buying the political representation,NA,"don’t like that they want to take away women rights, and the way they want to blame transgender for the pedophiles  and rapist.",the corruption of the people in power that want to create division and are not help the lower and middle class people,the exploitation of nature from corporations all around the world,"the MAGA cult, based there believes in bigotry and hate","corruption, all of those problems have a single motivation making money for the ones in control that want more"
142600,Kamala has a positive overall demeanor. Her agenda focuses on the people.,If her stance leans too far left.,NA,"I will not vote for Donald Trump because he is a criminal, a misogynist, and does not think about middle class people.","Pro-choice, pro gun regulation, accessible healthcare","Worry that too much financial support is given to individuals who don't work, but are capable of working potentially enabling them.","General fiscal views, wanting to keep money in American's pockets","Their strong affiliation with Christianity, the pro-life movement (but wanting to cut support for families who cannot support children), gun regulation","Division in political parties, religion taking too big of a role in politics, women's rights",free health care,big pharma.,women's rights
142604,ZERO!!!,NO!,"He is a strong business leader, not a scumbag career politician. He puts American people first. He is strong on foreign policy, will close the southern border, and bring back manufacturing to the USA!",He can be hard to listen to. He can talk a bit too much about himself.,NA,"They have become completely WOKE, they do not represent what the average American believes or wants...",The party more closely aligns with good American values...,There are too many career politicians that just want to line their pockets with cash!!!,"open borders, illegal immigrants, crime, fentanyl deaths, terror threats","war with china, gas prices in California",the federal government needs to be reduced by 75%,the federal government is too big
142606,"Vice President Harris has a positive message for the future of America, to keep moving the country forward instead of backward. She will do her best to pass legislation allowing women control over their reproductive rights. She will support an overhaul of our immigration laws, in a way that is fair to everyone. She will support LGBTQIA+ and other minority communities. I think she will support reforms to the Supreme Court, due to some of their recent rulings.",NA,NA,"His Agenda 47, as well as Heritage Foundation's Project 2025, threaten to undo our freedoms and democracy. I believe Trump, if reelected, would do everything possible to concentrate power in the executive branch, do away with federal employee civil service, and even do away with whole government agencies.",The Democrats want the country to progess and provide more protections for minorities and at risk communities. They want common sense gun control.,NA,NA,"The Republican party seems to want to take America backward. They do not want women to have control over their own reproductive rights. They want to deport millions of people, instead of working to fix our immigration system. They do not support the LGBTQIA+ and other minority communities. They want to game the system in order to keep themselves in power.",Attacks on individual freedoms,"women's access to healthcare, especially abortion",misinformation and disinformation,misinformation and disinformation
142607,protecting our personal freedom from Government interference.  to protect democracy,NA,NA,"Felon who will be a Dictator on day one. will destroy our G7 alliances, and will never leave or concede power when he loses again",protecting freedom and democracy and equality for all citizens,NA,NA,only care about the richest people and Corporations and don't support Unions. and taking our freedoms away,wages are not keeping ahead of costs,illegal migrants bringing drugs into the U.S.,gun violence,economy
142609,"She is smart, kind, experienced and represents the policies and values that I support.",NA,NA,I do not like any of his policies. He is a criminal and a pathological liar and a narcissistic con artist who has duped many people into thinking he represents them when he really doesn't have theirs or the country's best interests at heart. He is not smart and is mentally unfit to lead the country.,"Pro choice, supportive of civil rights, environmental protection, education, economic stability for middle class, protection of workers rights. And more.",NA,That it cowers to those who support Donald Trump,That it cowers to Donald Trump and his supporters,"Divisiveness driven by the politics of fear"". Selfish outside influences or those with financial influence pushing their own agendas by ""dividing and conquering"" the American people. ""","Women's rights, particularly in the areas of abortion and birth control. Women cannot be financially secure if they cannot control their health and ability to choose when and whether they want to have children.",Climate change and environmental protection support. If we do not deal effectively with these issues it affects everything from health to the economy not just for the US but for the entire world.,"Women's rights are the key to EVERTHING. If women are not supported, respected, and protected, nothing works."
142610,She is not Donald Trump,NA,NA,He tells too many things about people and issues that are not true.,"Letting people choose with their doctors what they need for their health care, especially women. The student loan forgiveness because that system was horrible and needed to be changed. I like the programs to help the poor.",Sometimes they do spend too much money especially to other countries.,I like that they represent loyal people to our country. I do agree with some conservative issues.,They have too many vocal people who are uneducated and believe and fight for issues that are not true.,"Economics, crime, lack of respect for all people, world conflicts,","our nation's infrastructure, need work on bridges, roads and railways","Women's health, the right to get medical help for reproductive problems, luckily I live in a state where women are free to discuss with their physicians and get the treatment they need, unfortunately in many states women lack this freedom","Economics, prices are too high for basic needs, families are forced to work and can not afford to stay home and raise their children"
142613,her energy and ideas,NA,NA,he is a danger,there is a lot of diversity,NA,NA,they are unhinged.,democracy as an institution,taxes and ibflation,SK,SK
142614,she is an idiot. she cant talk unless she is on a teleprompter.  she refuses to do interviews. she has radically changed her stance on policies just since she began to run.,NA,NA,NA,NA,everything especially the way they misrepresent and lie and try to trick people,conservative fiscally and socially,when they side with democrats,illegal immigration and open border,Justice Department weaponized against citizens,involvement in foreign wars,Illegal Immigration and open border
142619,"She is qualified, smart, cares about human rights, believes in the right to choose",NA,NA,"I feel he is unfit. He puts personal interests and interests of rich people first, he’s rascist, he intentionally tells lies knowing it will create hate, anger, violent, he will get rid of the right to choose",caring for human rights,NA,NA,seeming to all have racist views and want to end abortion,"hate, misinformation, sexism","prices- even though wages have increased, people notice the higher prices of things",none,people thinking/feeling they are the only ones having a hard time. an us against them mentality
142622,"intelligent and articulate woman, well educated, well qualified as previous prosecutor, at least at the debate she defended women's rights to chose, women's healthcare, I feel she is the best candidate to implement evidence based policy as well as strengthen environmental protections",NA,NA,"untrustworthiness, his actions can be bought by corporate as well as international interests, criminality, racist, sexist, narcissistic, hypocrisy etc","tend to better support social programs, public education, potential for socialized medicine[CHAR(10)]also support liberal social issues - women's, LGBTQ rights etc","there is too much money and corporate influence in politics in general, including democrats. They have a reputation for raising taxes and it seems this happens without efficient implementation of the programs promised.","financial conservatism when they do it thoughtfully, evidenced based way without a far right agenda/encroaching on human rights","the far rights increasing influence and anti-intellectual movement. Religion in government. Take over of the courts to implement and support of regressive social policies like overturning roe v wade. Many politicians able to still remain in congress without any repercussions for evidence lacking statements, even when extremely racist, homophobic, outlandish, etc.",Corporate money in politics,the use of social media algorithms to create echo chambers and nudge population wide behaviors,"cost of living - housing, healthcare, education",corporate money in politics
142623,She is not Donald Trump,NA,NA,Convicted felon and mentally impaired and no integrity,NA,NA,NA,NA,"Social Security, affordable housing, affordable higher education, healthcare",How to deal with illegal immigrants in a humane manner,Global warming and how to prevent destroying the world,Solving the illegal immigration problem
142626,"She promotes positivety,joyfulness and inclusion!",NA,NA,NA,"The Dems fight for abortion+LGBTQ rights,as well as equality for middle class USA!",NA,NA,"They are hypocritical,prejudiced and promote HATE to our country!",Gun laws-NRA refuses to invoke harsh laws alongside republicans,Price gouging-companies (esp gas/groceries) took advantage of consumers during/after pandemic to unfairly raise prices!,Immigration-BOTH parties had an across the aislre solution+Trump convinced Republicans to not agree w./ the law!,Price gouging!
142628,SU INTELIGENCIA Y CAPACIDAD,NA,sU AMOR POR nUESTRO pAÍS,"ES MUY RACISTA, NO LE GUSTA LA GENTE LATINA",SUS POLITICAS INTERNAS,SUS POLITICAS EXTERNAS,POLITICAS ECONOMICAS Y DE MIGRACIÓN,NA,"LA ECONOMIA, TODO MUY CARO, LA RENTA DE CASAS, IMPUESTOS MUY ALTOS,",LA DROGADICCION Y LAS ARMAS.,LA MIGRACION SIN CONTROL.,LA POBREZA
142629,she a female Democrat,NA,NA,he's going against some one i will like in office,They are for the working people,NA,NA,most of the time there for the rich,the economy the prices of livong is not matching our pay checkes..,we always helping others but not our own kind.,stop making other countries our problem,the economy.  inflation.
142632,She is honest and I support her positions.,NA,NA,He is a sociopath,They support my values,They aren't ruthless in achieving their goals,NA,They are in a Donald Trump cult,Fascism has returned,Uneducated voters,Retreat from treaties,Fascism
142638,Woman and not Donald Trump,NA,NA,His anti- democratic ideas.  most of his policies.  His history and personality.,Lower taxes for middle class. foreign policy.,support for vaccine mandates and too often supporting big Pharma. Too woke.,"The anti-vaccine mandate, anti- big tech pharma members.  It’s not universal just some members.",Kavk of willingness to compromise.  Don’t focus on governing go off on too many tangents.  Support of Trump.,Disunity.  Lack of ability to compromise.  Partisanship.  Inflation.  Excessive housing prices.,Need for immigration reform.,Racism,Disunity
142640,She’s running against Trump so enough said. She has a very positive outlook for our country,NA,NA,He is the worst human being in existence. He can’t keep his mouth shut.,they are for the working class and unions. want to help child poverty and food insecuritie. they want to tax the rich and make them pay their fair share.,the far left of the party have some crazy ideas that I don’t like,NA,way to much religion in there policies. they want to give to many tax cuts to the rich. their abortion policies suck. they don’t really have any policies except to follow their bat shit crazy leader Trump,Christian nationalism,disinformation,the economy . prices on everything,Christian nationalism
142643,She is not Trump,NA,NA,the man cant tell the truth and he is a felon,they fight for the middle class,NA,NA,they are all wieners,economy abortion,health care pharmaceutical companys charge too much and insurace companys need to let the doctors treat the patient not dictate what will or not be covered,not at this time,economy
142644,just simply don’t like her,NA,all about that action,NA,NA,there border policy is very unfair[CHAR(10)],I like trump and his policy’s,NA,NA,NA,NA,NA
142649,pro choice on abortion,NA,NA,like to promote Asian hate,pro choice and protects ukraine,NA,NA,doesn’t want to find ukraine,income not evenly spread,improve economy,improve economy,improve economy
142655,"she's well educated woman first, has a great attitude . also she's a woman of color and I think it's about time we move on from the old white guys.",NA,"I have despised him or disliked him for over 50 years. too many faults ( I feel), to spend all my time typing out the various reasons.",Have a total dislike of him and all the untruths and constant games.,I feel like at least they're trying to accomplish something for the public.,NA,it's a different party now. does it seem like they want to help the people in any way shape or form. [CHAR(10)]Plus just who they're backing.,NA,equal rights for all. especially women,that taxes be paid by all irregardless of your standing. including churches.,immigration needs to be handled different than it is now.,white supremacy relating to all immigrants.
142656,"She is kind, level headed and sincere.",NA,NA,he’s a fascist and a threat to the integrity of our democracy,a willingness to fight for marginalized groups of people.,NA,NA,they lack morals and the ability to think critically about the lives of people who are different from them.,global warming,a lack of compassion and understanding for people different than one selves,inflation and greed of big business,global warming
142657,She represents a return to civility and hope for democracy,NA,NA,He values strong-arm tactics that mimic authoritarian leaders,"Their original tenet to represent the people fairly, regardless of wealth or status",The transition that they know better what the people want and pass regulations contrary to public opinion,NA,"Their adoption of positions that favor denial of a government safety net - healthcare, social services, civil rights","Inflation--being able to afford housing, food, transportation",illegal immigration--a porous border and not enough resources to handle controlling the influx,"polarization--not being civil about different opinions and attacking one another, esp on social media",illegal immigration
142664,"Her policies, her demeanor",NA,NA,"His policies, his attitude, he’s rude",Economic plans,NA,NA,NA,maga movement. too political,"inflation, not being able to afford",n/a n/a,inflation
142665,She’s at a good age; comes across as smart; seems friendly to most.,"Her record with the border; Biden had assigned it to her, too many illegals were let in. Also, not sure if she would be strong enough internationally.",He tries to get other countries to put in more of their share. I believe some countries think he is a loose cannon and is scared to screw with him.,Tired of the drama. I can’t support him after the Insurrection.,"plays nice with allies, Ukraine.","border security, racism, budget","strength, conservatism, patriotism","less government, some abortion policies",illegal Immigration.,cyber security,"Black Americans- expecting/demanding too much and how everyone has to watch what they say; other minorities are not like this and are respected more. black Americans like to be segregated as they continue to want separations like black churches,",cyber security
142666,She is pro-choice. She is not Trump.,NA,NA,He brags about assaulting women. He was complicit in Jan 6. He is a convicted felon. He is a racist. He lies and exaggerates all the time. He has a bad reputation in the business world for not treating people fairly and not paying bills.,They support abortion.,Too fiscally liberal.,Fiscally conservative.,They support Trump. They are against abortion. They are too hard on immigration.,"Potential wars with Russia (over Ukraine), or China (over Taiwan), or Iran (over Israel). Too much power has been given to the Office of US President. Trump is unpredictable and not trustworthy and not a good person (a convicted criminal, sexual molester, blatant liar) and will likely cause major problems for our country - and people love him no matter what he does.","The Supreme Court has become a strongly political group - not good. Proposed Trump tariffs will severely hurt the economy. We need better immigration policies, but deporting immigrants will hurt the economy and goes against our heritage American values. We need much stronger and better gun control policies. We need better and more equal (across states) public education. We need to let women make their own choices. Beware of the slow creep away from true freedom and democracy.","Global warming is real and I don't think we can fix it or avoid it - but we can delay it perhaps and should try. We already see weather changes with huge storm related losses. Much of our population resides near the coasts and are in high risk areas. Our insurance companies, the government, the people cannot afford these losses. This is going to be a growing problem and not sure how to fix.",Avoiding foreign wars.
142667,"Appears to be ethical. Reproductive rights, promotes middle class, gun control, not anti-vax, rational measures to contain Covid, not politically polarizing--more apt to reach across party lines, pro NATO","Concern about fiscal policy, government spending?",NA,"He's crazy. Totally unethical, corrupt, amoral. Lies incessantly. Not smart. Bungled Covid-19 response. Tried to overturn the 2020 election. Polarizing. Politically divisive.","Reproductive rights, ethnic diversity, LGBTQ recognition",Bloated government size. Often excessive expenditures,"Fiscal policy, reduce government size",Has become a party of Trump followers.,Donald Trump's abuse of Executive Power,Ukrainian - Russian conflict,"High inflation, cost of food, services","Donald Trump's abuse of Executive Power, corruption"
142668,women rights and abortion,NA,NA,how he treats women,I feel the democrates are fair people and listen to their party,NA,NA,HOW CAN THE REPUBLICANS LET A MAN LIKE TRUMP REPRESENT YOUR PARTY,ECONOMY--price increases,PEACE-GETTING ALONG WITH ONE ANOTHER-BOTH PARTIES NEED TO WORK WITH ONE ANOTHER,JOBS-getting people back in the work force-get people off the assistance programs-too many people taking advantage of these programs,ECONOMICS
200078,"Smart, logical, fair, strong, brings hope and positivity",NA,NA,"Unethical, divisive, bad for America","Caring, fair, understanding, positive, bringing people together",NA,NA,"Immoral, misogynistic, mean-spirited, backwards, causing anger and unrest.","Women's Rights, Cost of Living, Antisemitism",SK,NA,NA
200096,women’s rights,NA,NA,women’s rights,"addressing climate change, women’s right to choose, universal healthcare, foreign policy",NA,"gun rights, abortion rights, LGTBQ+ rights, voting rights, reproductive rights",(what I listed in last answer is what I do not like.) there is nothing I like,gun control and school shootings,keeping gay rights,economic growth and job security,all of them and others
200340,she’s not as bad as most republicans,her association with the AIPAC and other lobby groups that steal tax dollars to fund wars elsewhere,NA,"his support for lobbies that hurt the working american families, and his intolerance for migrants",they’re not that far to the right,they don’t represent the actual left,"they’re at least honest of their positions to the right, and who their lobbyists are","they’re too far right in most everything, and their closeness to religious / christian nationalism is quite scary","decline in economy, lack of access to affordable healthcare, unemployment, christian nationalism, xenophobia, racism","food security - a lot of children and poor people lack access to food, especially healthy food, because prices have gone up and wages haven't",conflict - the US is meddling and aiding countries with military equipment and personnel with money we could use to improve the lifestyles of all Americans,"poverty in general - a lot of people face a lot of issues because everything, including issues like healthcare, rent and public transport is super expensive"
200363,"She is a female...enough of this male  posturing for control... the best leaders all over the world have been women...Gold Meier, Merkle in Germany, Butto in Pakistan.  Women generally value human beings and peace more than men...who look to be on top whatever the cost.",NA,NA,"He is not interested in the country...He is has a serious personality defect chiefly focused on childish calling other candidates by ridiculing names.  His economic policies have increased the income gap between the 1% and the rest of us. As a senior I am  particularly vexed by talk of cutting social security and medicare. I am vexed by taxing social security.  I already paid my taxes for many years...and if they are used for the benefit of others, I am okay with that.",on the balance I agree with their policies both domestic and foreign.  Of particular agreement  are abortion rights and the balancing of the supreme court both of which the republicans by and large want to either continue to limit (abortion rights) or swing to autocratic implementations (abortion rights and the right to hold Presidents accountable for their actions that are not within the law either while in office or out of offic).,It's withholding support from the Ukraine; shortsightedness of America first which will lead to America in peril as it did in the Second World War.  We are in a cyber war and several live wars which are threatening to escalate into World Wars.,NA,NA,Racism and Antisemitism,World War III--the escalating places of armed conflict in the world,failure of Education,Divisiveness of racism and antisemitism
200380,Fresh honesty. Calm demeanor. Experienced record in public service,NA,NA,He's not the leader I want. I don't believe he has the best interest of the country or American democracy in mind,NA,NA,NA,Partisanship. Congress is at a stand still. They seem unwilling to compromise at all and block too many bills based on party lines. We as a nation need to do better,income disparity,homelessness is an issue in every major american city. continually unresolved,aid to foreign wars.,income disparity
200391,abortion policies,NA,NA,literally everything.,I’m a democrat,don’t approve of giving tax money to Israeli and funding genocide,NA,"abortion, guns",NA,NA,NA,NA
200469,"She's a woman, she's woman of color, she is of sound mind, she's young, she can represent our country with honor.",She has been relatively silent about the genocide of the Palestinian people.,NA,"His racism, lifetime of wealth, business practices, felonies, age, disgracing our nation in the eyes of the world.",A lot of good discourse amongst the democratic party. It feels like they have the people in their interest. They support the lower and middle classes better (not great). They support free choice in most regards.,The weakness of the response to cease escalations in Israel and Palestine.,NA,The way they've let the far right and racists in our country run their policy. Their obsession with keeping guns in this country. Their supporting of more law enforcement instead of investment in communities,"philosophically, polarization, the media increasing that polarization. gross generalizations of people.","economic disparity, gun violence, school shootings, disassociation, police brutality, poverty/homelessness",funding the war machine,polarization and sense of self as it creates an impasse of all the other things and makes problems impossible to solve.
200481,I am voting Kamala because I believe she is a better candidate to Trump. I align with the democratic party values and align with her views on women's bodily autonomy. I also align with her policies on taxing the rich.,"I do not like her foreign policy, border policy, and her immigration policies.",NA,I do not like his character and morals. I do not align with his economic policies as well as his anti-trans legislation.,approach to social issues,They seem to continuously shoot themselves in the foot and cannot gather and create change for the life of them. They cannot get a grasp on their platform in Israel and it is alienating many palestinian and young voters.,NA,I do not like most of their policies and priorities.,Cost of living crisis,"Homelessness, lack of affordable housing. Opioid crisis.","Illiteracy for children and adults, neglect in the school system. Failures of the no child left behind program.",cost of living crisis
200577,Protect civil rights.,NA,NA,He wants to end democracy in the United States and remove personal freedoms.,They are imperfect but our best hope.,The are too centrist.,NA,the are explicitly a fascist party with fascist goals,Russian-controlled ruling party,billlionaires having too much power,global warming is accelerating and destabilizing everything,Russian-controlled ruling party (the Republicans are controlled by Russia)
200638,"She is very educated, intelligent and smart woman. I believe she is a good fit to be a president of U.S.",NA,NA,He is not a good leader and does not think about the middle class people. He follows his own interest and the interest of the rich people.,They are more protecting the interest of the meddle class and more fare to everyone when making policy.,NA,NA,They are not working for the regular people and they protect only rich people and their businesses.,miss information from the media,illegal emigration,homelessness in the big cities,"the social media is desin forming the people about the political process, immigrants and the other problems in the country"
200715,She’s Democratic,NA,NA,"Besides that he’s a Republican, I believe he tried to commit treason",Democrats favor the right for woman to choose,Democrats tend to acquiesce to Republicans too much. Also there’s a reason why Republicans think we’re elitist; we sometimes come across like we know everything.,NA,it has turned into a party of extremists,Donald Trump as POTUS. Should be in jail.,"Climate Change, it is existential in nature and moving quite quickly. No respect for our planet. If we die our planet will thrive, if our planet suffers so do we.",Campaign Finance Reform,Donald Trump as president
200721,"she will represent the generality of American and get the job done perfectly,she is well read,her intellect is intact.",NA,NA,"He does NOT have the capacity to carry most ametican along with his policies,too vulgar and very proud.",their policies are for the majority of Americans.,their position on gays.,their position on gays,their anti people policies.,"racism,most people tend to vote along racial lines.",homeless and hunger.,"housing,being in an apartment is increasingly becoming very expensive.",prices of food items going up thereby causing hunger in the land.
200772,Good character and political experience as VP,"far left progressive ideals, anti-israel","Pro-Israel, Gun rights, safe borders","Bad character, self-interested narcissist, running America as a business",NA,"far left progressive antics, anti israel","pro-gun, pro-free speech, pro-immigration control","far right activists, religious nut jobs, pro life",The country is heavily divided between conservatives and liberals,Illegal immigration,Radical Islam & Terrorism,Division
200819,Democratic Party,NA,"Strong Leader, for Crypto",The way he talks sometimes,I was told they are for the lower class,I like something Trump is for,I personally only like the Republican Party because Trump is involved in that party.,NA,"Women's rights are currently at stake once Donald Trump enters the office in January, along with immigrants careers and futures they built here, in United States of America. Donald Trump is racist, black people's life's will also be affected and police's brutality to people of color will be more common, and Donald will ignore it.","Donald Trump has been accused of sexual assault, forging the votes numerous of times. Women will fear for their safety, not just women. Men as well, or any other identity anybody else identifies as will be scared. Rapists most likely won't even face too much jail time for the trauma and","Donald Trump has been accused of Sexual Assault numerous of times. Woman will fear for their lives, not just women. Most rapists won't even face too much jail time, even after all the trauma and pain they reflected on another person because of their disgusting actions as Donald Trump is a rapist himself.","All of the problems I've listed are all important, none is less or more important than any."
200836,she fights for minorities and is less controversial.,NA,NA,comments like black jobs and the fact that cops won’t be held accountable for killing citizens when we’ve been shown countless times that all cops don’t have the judgement,NA,NA,NA,NA,Donald Trump being in office,tariffs inflation and a possible recession,the advancement of AI and other technology is going to backfire,recession
200854,"social agenda, abortion, immigration policy, support for lgbtq rights, Healthcare policy, history in law",obscurity with some policies,"nationalism, financial conservation","social issues, anti-abortion, lack of morality, lack of professionalism, catholic/christian agenda, incompetence","social policies and liberal freedoms, future focused with changes meeting modern needs","lack of awareness of national debt, current foreign relationships under biden","nationalism, fiscally conservative","gun policies, close ties to christian agenda, lack of focus on social equity and freedoms",Anti-Corruption and Transparency.[CHAR(10)]Arms Control and Nonproliferation.[CHAR(10)]Climate and Environment.,REFUGEE AND HUMANITARIAN ASSISTANCE,TREATIES AND INTERNATIONAL AGREEMENTS,ARMS CONTROL AND NONPROLIFERATION
200860,bettering economy,NA,bettering the economy,bettering economy,care about humans,NA,bettering the economy,NA,cost of goods.,racism. theres so much of it everywhere,COG. it way too high. it's becoming impossible to live here and the wages are not increasing.,COG
200952,"The fact that she is a democrat. I am a democrat however, I feel She is just going to be lead through Biden. I was very displeased with the last four years.",Her shaky past as  San Francisco’s DA letting off criminals only to reoffend.,"In my opinion the economy was thriving, even in a pandemic and I certainly felt it. I feel like if a deal needed to get done. He can get it done. He wasn’t afraid to hurt feelings and make changes.","I absolutely did not agree with him giving racist and angry evil people waiting for a reason to cause chaos, and he put a battery in their back. He never disowned it and let the racist continue to give our nation a black eye.",NA,NA,"I understand that you business owners and homeowners, land owners etc. generally are represented by the republicans, so in the future I would like to switch sides once I have  proper ownership",Roe V. Wade!! A woman should be able to receive any medical procedure if they want. Especially from Rape or incest.,too much hate amongst strangers. I feel social media and how young people communicate keeps them sheltered and sensitive. People are too worried about feeling embarrassed or what others think about them.,"way too much concern and support for other ally countries. we have our own hunger and homeless issue, and disabled veterans that could use our support!",Trans in youth sports. totally unfair for a young girl.,hungry children
200995,She not a racist and I believe she is really for the people.,NA,NA,everything about him,NA,NA,NA,NA,"inflation food is so high I have a hard time feeding a family of [REDACTED AMOUNT],and Trump being president.",Human trafficking,Trump raising tarriff taxes,Trump being president
201019,Kamala feels like the bad ass high school principal that would encourage the country to stand up and they might just listen,NA,NA,he's a horrible human being and will become a dictator without proper checks and balances. he's very untrustworthy,the fact that they are more open to adapting to changes in society.,the fact that they can't seem to get it together enough to actually do anything.,I prefer the moderate stance on immigration and foreign policy,it's recent extremism that seems to be moving towards facism,Fundamental Human Rights Values,Weak Immigration Policies and Handling,Our economy could be stronger,fundamental values of human rights.
201030,She's pro choice and generally agrees with my ideals.,NA,NA,"Don't like anything he stands for- hatred, bigotry, etc.","pro choice, pro science, pro common sense,",bad at implementing ideas,NA,"pro life, tax breaks for rich people, not tolerant, getting close with russia, overall Christianity","not progressive enough- college cost, single payer medical care",dont like cancel culture,too polarized- msnbc vs fox news. too much of an echo chamber and people don't see other perspectives,polarization
201042,"she tells the truth, and she does not live in a separate reality, her law and order experience.",NA,NA,"He is the Anti Christ, and lives in a separate reality in a make belief world.",The party of the working people.,NA,NA,everything,NA,NA,NA,NA
201048,"Harris is a center left democrat supporting voters' right to vote and the rule of law.  She will work to preserve the ACA, continue to support Ukraine and preserve the international system set up by the United States after World War II.",NA,"He has a long history of lying, self centeredness, doesn't support the rule of law, doesn't support Ukraine or the ACA and is willing to abandon the international system that the US built after World War II for personal gain.  He is also a liar, a cheat, a bully and cares about no one other than himself.  He flaunts the Constitution and was a bad president during his first term in office.",See my previous answer.,Not much.  I appreciate them trying to represent all Americans but they have a history of messing things up time and again.,They're disorganized and despairing too much of the time.,NA,"The throwing away of their history to become the party of Trump and to bully women, the poor and people of color.  The party is now largely a vehicle for Trump's reelection, turning their back on the rule of law, free trade, a strong hand in international affairs.","Rule of law.  Equality before the law.  Maintaining freedoms for people, markets and the world.","Many.  Climate change, poverty, drug abuse, education, deficits and debt, affordable housing, civil rights, voting rights, women's rights, need for civics in education, renewable power, need for social security reform, need to professionalize government services, reform the judiciary, reform immigration laws, strengthen local and national press.",See previous list.,Rule of law.
201127,She respects our democracy,NA,NA,if he becomes president again I do not believe he will ever leave office,They seem to focus more on the middle class,soft handedness in politics,NA,I think they work in the interests if billionaires and corporations,The strength of our democracy and the rise of right-wing authoritarianism/populism.,The lobbying parties involved in politics. The average american no longer feels heard but their elected officials and these officials are out of touch with the needs of their constituents. The Democratic party is ineffective and the Republican party no longer respects democratic processes.,The lack of awareness of AI and the potential national security risks of deep fakes influencing public and political decisions. The increased sophistication of misinformation and the speed at which it is dispersedz,The shift toward authoritarianism.
201163,"Leadership, Policy, Verbal acuity",NA,NA,"Sex offender, xenophobic, racist comments, problematic leadership, weakens institutions I believe in (eg EPA)","collectivist attitude, supports unions and organizing, believes in climate change, not aligned to foreign dictators, wants to build things instead of undermining things","Still very much aligned to business/ corporations have too much power, mostly made up of highly privileged people, more moderate than I would like",NA,"seem intent on destroying our government and democracy, all hypocrisy and hate",NA,NA,NA,NA
201169,"Everything, freedom, opportunity",NA,NA,I hate fascism. his immaturity,"abortion, tax policy, gun and environmental policies",NA,NA,"abortion, taxes, guns",MAGA,TRUMP,SK,Trump
201186,Acknowledges climate change is real. Support for abortion rights.,NA,NA,"His platform against abortion, wanting to deport immigrants, his felony conviction, etc.","Policies on abortion, climate change, immigration, student loan forgiveness, healthcare accessibility",NA,"Questionable ethics, policies that are anti-abortion and anti-immigrant, unwillingness to expand Medicare/Medicaid","Policies that are anti-abortion, anti-immigrant, denial of climate change",trump is trying to destroy democracy,lack of action to combat climate change,abortion rights have been taken away in large swath of country,maintaining democracy in Trump administration
201192,She isn’t Trump.[CHAR(10)]and she will at least try to work together with others.[CHAR(10)]Republicans have totally lost their way.,NA,NA,He is unfit for office.[CHAR(10)]He is a criminal.[CHAR(10)]His entire nature is divisive.[CHAR(10)]And he doesn’t get anything done for the good of the people.,They seem to have a more sincere concern for the common man and woman.,"they are too stridently pro abortion.[CHAR(10)]they sometimes are not willing to see if a program is working or not, and so waste money.",NA,"I was a registered Republican for most of my life. But now they are inexplicably beholden to Trump and are no longer the Republican Party. They are mean, nasty, shallow. They are more concerned about their party “winning” than in getting things done for America. The immigration issue is a perfect case in point. They kowtowed to Trump. Why?",Stubborn unthinking partisanship which puts party before issues and solutions.,Unjist economic structures which favor and serve the super rich and leave the middle and working classes struggling.,Immigrationâ€”dealing with the issue in a fair and constructive manner.,the partisan division
201276,She represents the values I share.,NA,NA,His disregard of everything except himself.,Their prioritizing the concerns of the common man over the concerns of big business.,NA,NA,Their loss of independence in deferring to Trump.,Racism Failure to deal with the legacy of slavery and making it illegal to present certain points of view about that legacy,climate change and the power given to the coal and oil companies in developing policy about climate change,"health care inequality, the costs of health care and drugs and lack of planning to deal with with future pandemics and emotion instead of facts in determining policy",the lack of will to deal with the hard choices required to effectively act on any of those issues
201300,She is not Trump.,NA,NA,"Trump is a lying, cheating, narcissistic, despicable, racist, misogynistic, felon.",It’s not the Republican Party.,The U.S. still doesn’t have national health care.,NA,Everything and Everyone,One problem: lack of universal or very affordable national healthcare in the U.S.,One more problem: The federal minimum wage has not increased since 2009.,"Gerrymandering, the filibuster, and the Electoral College all need to disappear.",lack of national healthcare
