doc_id,sentence_id,token_id,token,sentence
1,30,65,constitutionally,"1 SSG Dreiling alleged: (1) the United States Army Installation Management Command (IMCOM) had no authority to promulgate IMCOM Regulation 608-10-1, which requires all children participating in youth sports leagues on base to receive the current influenza vaccine; and (2) IMCOM Regulation 608-10-1 violated SSG Dreiling’s constitutionally protected parental rights."
1,53,21,fairly,"Under the Tucker Act, a plaintiff must identify a money-mandating source of law, which “can fairly be interpreted as mandating compensation by the Federal Government for the damage sustained.”"
2,7,10,truly,"In SSG Dreiling’s view, “this Court truly has a duty and obligation to correct demonstrably erroneous precedents that are contrary to the original meaning of the law.”"
2,7,18,demonstrably,"In SSG Dreiling’s view, “this Court truly has a duty and obligation to correct demonstrably erroneous precedents that are contrary to the original meaning of the law.”"
